frame_index,time,road,vehicle_class,vehicle_id,speed,interval_time,lane
7309,292.36,R,car,3363,112.5,0.32,m
7313,292.52,R,car,3378,1350.0,1.32,l
7327,293.08,L,car,3382,270.0,0.56,l
7332,293.28,L,truck,3369,90.0,9.12,r
7358,294.32,L,car,3355,71.05263157894737,1.04,r
7358,294.32,L,car,3388,122.72727272727273,1.96,m
7425,297.0,R,truck,3439,112.5,3.92,l
7453,298.12,L,car,3437,122.72727272727273,3.8,m
7481,299.24,R,car,3474,450.0,2.24,l
7516,300.64,R,bus,3468,58.69565217391304,6.32,r
7532,301.28,L,car,3451,103.84615384615384,3.16,m
7538,301.52,R,truck,3483,90.0,0.24,m
7585,303.4,R,truck,3506,90.0,1.88,m
7592,303.68,L,car,3517,337.5,4.44,l
7611,304.44,L,car,3523,135.0,1.04,m
7626,305.04,R,car,3522,96.42857142857142,1.36,l
7657,306.28,R,bus,3541,84.375,1.84,m
7692,307.68,R,bus,3555,135.0,7.04,r
7693,307.72,R,truck,3549,64.28571428571429,0.04,r
7696,307.84,R,bus,3561,84.375,1.56,m
7700,308.0,L,car,3488,112.5,0.16,m
7725,309.0,R,bus,3570,225.0,1.0,m
7726,309.04,R,truck,3578,90.0,4.0,l
7748,309.92,R,car,3580,84.375,0.88,l
7770,310.8,R,car,3586,84.375,0.88,l
7832,313.28,R,car,3594,90.0,4.28,m
7870,314.8,R,car,3602,84.375,4.0,l
7904,316.16,R,car,3613,84.375,1.36,l
7926,317.04,R,car,3615,75.0,3.76,m
7928,317.12,R,car,3618,67.5,0.08,m
7933,317.32,L,bus,3620,96.42857142857142,0.2,m
7941,317.64,R,car,3616,84.375,1.48,l
7959,318.36,R,bus,3631,79.41176470588235,10.64,r
7961,318.44,R,car,3629,79.41176470588235,1.12,m
7982,319.28,R,car,3636,90.0,1.64,l
7985,319.4,R,car,3647,90.0,0.96,m
7998,319.92,R,car,3651,84.375,0.64,l
8025,321.0,L,car,3666,96.42857142857142,2.64,r
8029,321.16,R,car,3669,84.375,1.76,m
8064,322.56,R,car,3677,84.375,2.64,l
8077,323.08,R,car,3685,96.42857142857142,1.92,m
8160,326.4,R,car,3715,103.84615384615384,3.32,m
8237,329.48,R,car,3735,103.84615384615384,3.08,m
8252,330.08,R,car,3737,96.42857142857142,7.52,l
8278,331.12,R,car,3741,103.84615384615384,1.04,l
8280,331.2,R,car,3751,192.85714285714283,1.72,m
8285,331.4,L,truck,3738,75.0,10.4,r
8340,333.6,L,car,3757,122.72727272727273,2.4,m
8361,334.44,L,truck,3762,192.85714285714283,0.84,m
8409,336.36,L,car,3795,225.0,1.92,m
8452,338.08,R,car,3809,122.72727272727273,6.96,l
8463,338.52,L,car,3814,135.0,2.16,m
8477,339.08,L,car,3820,337.5,1.0,l
8480,339.2,R,car,3817,112.5,0.68,m
8488,339.52,L,car,3819,122.72727272727273,0.32,m
8491,339.64,R,car,3822,135.0,0.56,l
8511,340.44,L,car,3791,135.0,0.92,m
8564,342.56,R,bus,3850,112.5,2.12,m
8590,343.6,L,truck,3874,135.0,12.2,r
8597,343.88,L,car,3870,150.0,1.32,m
8645,345.8,L,car,3882,270.0,6.16,l
8680,347.2,L,truck,3891,75.0,3.6,r
8696,347.84,R,car,3919,122.72727272727273,3.96,m
8720,348.8,R,car,3923,103.84615384615384,3.0,l
8728,349.12,L,truck,3897,71.05263157894737,1.92,r
8741,349.64,R,truck,3942,112.5,1.8,m
8762,350.48,L,truck,3939,84.375,0.84,m
8763,350.52,R,car,3949,112.5,0.04,m
8785,351.4,L,truck,3962,150.0,0.88,m
8788,351.52,R,car,3966,450.0,2.72,l
8821,352.84,R,car,3970,112.5,1.32,l
8822,352.88,R,truck,3972,122.72727272727273,3.76,r
8824,352.96,R,truck,3972,1350.0,0.08,r
8859,354.36,R,car,3991,112.5,1.52,l
8935,357.4,L,truck,4000,79.41176470588235,4.44,r
8939,357.56,L,truck,4015,270.0,6.16,m
8970,358.8,R,car,4018,90.0,1.4,r
8981,359.24,R,truck,4039,1350.0,4.88,l
8987,359.48,R,truck,4026,79.41176470588235,1.92,m
9007,360.28,L,car,4051,337.5,1.04,l
9094,363.76,L,car,4076,1350.0,4.28,m
9114,364.56,R,car,4069,90.0,4.28,l
9120,364.8,R,car,4075,112.5,1.04,m
9135,365.4,L,truck,4070,84.375,0.6,m
9215,368.6,R,car,4096,122.72727272727273,3.2,m
9229,369.16,R,car,4104,103.84615384615384,4.6,l
9234,369.36,L,bus,4098,90.0,10.56,r
9263,370.52,L,car,4130,450.0,1.36,l
9275,371.0,R,car,4127,122.72727272727273,2.4,m
9287,371.48,L,car,4131,150.0,0.48,m
9306,372.24,L,truck,4118,90.0,2.88,r
9309,372.36,R,truck,4144,84.375,0.12,r
9340,373.6,R,car,4170,192.85714285714283,3.08,l
9341,373.64,R,car,4163,112.5,2.16,m
9438,377.52,R,car,4195,122.72727272727273,3.92,l
9441,377.64,L,car,4190,112.5,5.28,r
9452,378.08,L,truck,4177,96.42857142857142,4.44,m
9526,381.04,L,car,4242,225.0,2.96,m
9530,381.2,R,car,4243,103.84615384615384,3.68,l
9601,384.04,L,bus,4256,79.41176470588235,6.4,r
9619,384.76,R,car,4277,103.84615384615384,3.56,l
9628,385.12,L,car,4279,270.0,0.36,l
9641,385.64,R,car,4280,96.42857142857142,0.52,l
9669,386.76,R,truck,4284,75.0,5.72,m
9669,386.76,R,truck,4300,168.75,0.0,m
9695,387.8,L,car,4298,150.0,1.04,m
9715,388.6,R,bus,4306,79.41176470588235,0.8,m
9723,388.92,L,car,4312,122.72727272727273,0.32,m
9750,390.0,L,car,4331,135.0,1.08,m
9784,391.36,R,truck,4350,135.0,1.36,m
9789,391.56,R,car,4338,84.375,5.92,l
9800,392.0,R,truck,4357,103.84615384615384,0.64,m
9817,392.68,L,truck,4336,71.05263157894737,8.64,r
9868,394.72,R,truck,4370,90.0,2.72,m
9903,396.12,L,truck,4386,90.0,3.44,r
9905,396.2,L,car,4387,225.0,1.48,m
9946,397.84,L,truck,4388,79.41176470588235,1.72,r
9969,398.76,L,truck,4411,103.84615384615384,2.56,m
10013,400.52,R,car,4442,103.84615384615384,8.96,l
10037,401.48,R,car,4458,103.84615384615384,0.96,l
10047,401.88,L,car,4454,90.0,3.12,m
10059,402.36,R,car,4470,112.5,0.48,m
10064,402.56,L,car,4466,103.84615384615384,0.2,m
10067,402.68,R,car,4465,337.5,1.2,l
10074,402.96,R,car,4463,48.21428571428571,5.12,r
10101,404.04,L,truck,4455,71.05263157894737,1.08,r
10102,404.08,L,truck,4471,112.5,0.04,r
10103,404.12,R,car,4477,112.5,1.44,l
10127,405.08,R,truck,4483,67.5,2.52,m
10141,405.64,R,truck,4488,96.42857142857142,1.56,r
10167,406.68,R,car,4493,79.41176470588235,1.04,r
10168,406.72,R,car,4497,103.84615384615384,2.6,l
10193,407.72,R,car,4504,96.42857142857142,2.64,m
10200,408.0,L,car,4506,96.42857142857142,0.28,m
10202,408.08,R,truck,4507,75.0,1.36,l
10213,408.52,R,car,4511,84.375,1.84,r
10231,409.24,R,car,4516,79.41176470588235,1.24,m
10234,409.36,L,truck,4508,84.375,0.84,r
10237,409.48,R,car,4519,84.375,0.12,r
10239,409.56,L,truck,4500,79.41176470588235,0.32,m
10278,411.12,R,car,4537,90.0,1.64,r
10297,411.88,R,car,4544,75.0,2.32,m
10305,412.2,R,car,4545,79.41176470588235,4.12,l
10310,412.4,R,truck,4569,90.0,1.28,r
10326,413.04,R,truck,4562,42.1875,0.64,r
10336,413.44,R,car,4576,84.375,0.4,r
10352,414.08,R,car,4579,75.0,1.88,l
10365,414.6,R,car,4597,90.0,2.72,m
10378,415.12,R,truck,4608,56.25,1.68,r
10401,416.04,R,car,4611,84.375,1.44,m
10414,416.56,L,truck,4586,71.05263157894737,1.44,r
10427,417.08,R,car,4622,84.375,3.0,l
10429,417.16,R,car,4632,90.0,0.6,r
10440,417.6,R,car,4634,84.375,1.56,m
10473,418.92,R,truck,4658,75.0,1.32,m
10474,418.96,R,car,4648,67.5,1.8,r
10497,419.88,L,truck,4664,112.5,0.96,m
10503,420.12,R,car,4663,112.5,3.04,l
10569,422.76,L,car,4689,225.0,3.8,r
