frame_index,time,road,lane,vehicle_class,vehicle_id,event_type
56372,2254.88,R,l,car,29090,overdrive
56456,2258.24,R,l,car,29140,overdrive
56642,2265.68,L,m,car,29213,overdrive
56903,2276.12,R,l,car,29363,overdrive
56923,2276.92,L,m,car,29366,overdrive
57424,2296.96,L,m,truck,29589,overdrive
57486,2299.44,R,r,car,29624,cruise
57551,2302.04,R,l,truck,29695,overdrive
57842,2313.68,R,r,truck,29920,cruise
57974,2318.96,L,m,truck,29992,overdrive
58057,2322.28,R,r,car,30031,cruise
58152,2326.08,R,l,car,30070,overdrive
58171,2326.84,R,l,truck,30059,cruise
58172,2326.88,L,r,bus,30091,cruise
58209,2328.36,L,r,truck,30122,overdrive
58858,2354.32,R,r,truck,30399,cruise
58861,2354.44,L,r,car,30412,overdrive
58883,2355.32,L,r,truck,30425,cruise
59230,2369.2,L,m,car,30610,overdrive
59261,2370.44,L,r,truck,30612,overdrive
59425,2377.0,R,r,truck,30718,cruise
59909,2396.36,L,m,car,30921,overdrive
60021,2400.84,R,l,car,30988,overdrive
60025,2401.0,R,m,truck,30990,overdrive
60032,2401.28,R,r,truck,30986,overdrive
60225,2409.0,L,l,car,31042,overdrive
60396,2415.84,R,m,car,31140,overdrive
60466,2418.64,R,l,truck,31170,overdrive
60532,2421.28,R,r,bus,31190,cruise
60839,2433.56,L,m,car,31376,overdrive
60887,2435.48,R,r,car,31404,cruise
61067,2442.68,L,m,car,31539,overdrive
61089,2443.56,R,r,truck,31554,cruise
61156,2446.24,R,r,truck,31580,cruise
61311,2452.44,L,r,truck,31634,cruise
61375,2455.0,L,m,car,31703,overdrive
61429,2457.16,L,m,car,31738,overdrive
61471,2458.84,L,m,car,31759,overdrive
61480,2459.2,R,l,car,31749,overdrive
61494,2459.76,R,l,car,31795,overdrive
61498,2459.92,R,l,car,31785,overdrive
61512,2460.48,L,r,truck,31770,cruise
61523,2460.92,L,r,car,31777,cruise
61535,2461.4,L,m,car,31798,overdrive
61572,2462.88,R,l,car,31820,overdrive
61726,2469.04,L,m,car,31852,overdrive
61850,2474.0,R,r,car,31890,cruise
61971,2478.84,L,m,car,31938,overdrive
61984,2479.36,R,r,bus,31933,cruise
62080,2483.2,R,r,bus,31983,cruise
62168,2486.72,R,m,truck,31982,cruise
62181,2487.24,L,m,car,32042,overdrive
62322,2492.88,L,m,car,32168,overdrive
62368,2494.72,L,r,truck,32213,cruise
62424,2496.96,R,m,bus,32229,cruise
62877,2515.08,L,m,car,32403,overdrive
63005,2520.2,R,l,car,32445,overdrive
63025,2521.0,R,r,car,32449,overdrive
63057,2522.28,R,m,car,32460,overdrive
63140,2525.6,R,m,car,32470,overdrive
63151,2526.04,R,l,car,32472,overdrive
63162,2526.48,R,m,car,32476,overdrive
63201,2528.04,R,l,car,32481,overdrive
63282,2531.28,R,m,truck,32522,overdrive
63317,2532.68,R,m,car,32534,overdrive
63351,2534.04,R,m,car,32563,overdrive
