frame_index,time,road,lane,vehicle_class,vehicle_id
78358,3134.32,L,r,truck,40147
78773,3150.92,R,r,truck,40309
78894,3155.76,R,r,car,40357
78973,3158.92,L,r,truck,40383
79415,3176.6,L,r,car,40669
79505,3180.2,R,r,car,40736
79514,3180.56,R,l,truck,40765
79587,3183.48,R,r,truck,40814
79634,3185.36,R,r,car,40833
79749,3189.96,L,r,truck,40911
79750,3190,L,r,truck,40893
80394,3215.76,R,r,car,41275
80815,3232.6,R,l,car,41443
80859,3234.36,R,m,car,41475
81329,3253.16,R,l,truck,41690
81477,3259.08,R,r,truck,41757
81699,3267.96,L,m,car,41899
81820,3272.8,R,r,truck,41950
81829,3273.16,R,r,truck,41945
82216,3288.64,R,l,car,42146
82547,3301.88,L,r,truck,42192
82631,3305.24,L,r,truck,42287
82747,3309.88,L,r,car,42376
82750,3310,R,m,bus,42401
82944,3317.76,L,r,truck,42484
83036,3321.44,L,m,truck,42479
83102,3324.08,L,m,truck,42554
83212,3328.48,R,r,truck,42655
84314,3372.56,L,r,truck,43177
84365,3374.6,R,m,car,43219
84458,3378.32,R,r,truck,43270
84508,3380.32,L,r,truck,43259
84585,3383.4,L,m,truck,43355
84954,3398.16,R,m,truck,43557
85006,3400.24,R,m,truck,43573
85573,3422.92,L,r,car,43767
85739,3429.56,R,r,car,43857
85784,3431.36,R,m,truck,43872
86377,3455.08,L,r,car,44137
86393,3455.72,R,m,truck,44150
86402,3456.08,R,m,truck,44177
86440,3457.6,L,r,truck,44163
86575,3463,R,r,car,44243
86591,3463.64,L,m,car,44277
86653,3466.12,L,r,truck,44235
86711,3468.44,R,m,bus,44319
87090,3483.6,L,r,truck,44533
87341,3493.64,R,r,truck,44637
87397,3495.88,R,r,truck,44677
87398,3495.92,L,r,truck,44611
87452,3498.08,L,r,truck,44662
87512,3500.48,R,l,truck,44784
87625,3505,L,r,car,44790
87627,3505.08,L,r,car,44752
87634,3505.36,L,r,car,44813
87726,3509.04,L,r,truck,44954
88329,3533.16,L,r,truck,45239
88784,3551.36,L,r,truck,45334
88798,3551.92,L,r,bus,45412
88800,3552,L,r,truck,45404
89416,3576.64,L,r,truck,45588
89440,3577.6,R,r,car,45643
89467,3578.68,L,r,truck,45705
89528,3581.12,R,r,bus,45728
89672,3586.88,L,r,car,45707
89773,3590.92,R,r,bus,45863
89808,3592.32,R,r,car,45883
89835,3593.4,L,m,truck,45880
89899,3595.96,R,r,bus,45931
89932,3597.28,R,r,car,45951
89945,3597.8,R,r,truck,45965
89970,3598.8,R,m,car,45983
