frame_index,time,road,lane,vehicle_class,vehicle_id,event_type,duration
44835,1793.4,R,r,truck,21765,cruise,"24,36"
44849,1793.96,R,l,car,21774,overdrive,"24,36"
45142,1805.68,L,m,car,21882,overdrive,"24,36"
45205,1808.2,L,m,car,21933,overdrive,"24,36"
45250,1810,R,m,car,21939,cruise,"24,36"
45266,1810.64,R,r,truck,21940,cruise,"24,36"
45301,1812.04,R,r,car,21956,cruise,"24,36"
45336,1813.44,L,m,car,21998,overdrive,"24,36"
45352,1814.08,R,r,truck,22020,cruise,"24,36"
45429,1817.16,L,m,car,22061,overdrive,"24,36"
45488,1819.52,L,m,car,22091,overdrive,"24,36"
45538,1821.52,L,m,car,22134,overdrive,"24,36"
45538,1821.52,L,m,car,22190,cruise,"24,36"
45626,1825.04,R,r,truck,22237,cruise,"24,36"
45674,1826.96,R,l,truck,22264,cruise,"24,36"
45783,1831.32,R,r,car,22308,cruise,"24,36"
45901,1836.04,L,r,truck,22378,cruise,"24,36"
46022,1840.88,L,m,car,22461,overdrive,"24,36"
46039,1841.56,L,m,car,22493,overdrive,"24,36"
46052,1842.08,L,m,truck,22462,cruise,"24,36"
46219,1848.76,L,m,car,22639,overdrive,"24,36"
46351,1854.04,L,r,truck,22671,cruise,"24,36"
46457,1858.28,L,l,car,22842,overdrive,"24,36"
46496,1859.84,R,r,car,22839,cruise,"24,36"
46507,1860.28,R,r,truck,22874,cruise,"24,36"
46548,1861.92,L,m,car,22898,overdrive,"24,36"
46704,1868.16,R,m,car,23036,cruise,"24,36"
46770,1870.8,L,l,car,23086,overdrive,"24,36"
46829,1873.16,L,m,car,23109,overdrive,"24,36"
46863,1874.52,L,m,car,23151,overdrive,"24,36"
46882,1875.28,L,m,car,23180,overdrive,"24,36"
46912,1876.48,R,r,truck,23197,cruise,"24,36"
47336,1893.44,R,r,car,23514,cruise,"24,36"
47345,1893.8,R,l,car,23532,overdrive,"24,36"
47442,1897.68,L,m,car,23585,overdrive,"24,36"
47512,1900.48,L,l,car,23604,overdrive,"24,36"
47708,1908.32,R,r,bus,23699,cruise,"24,36"
47844,1913.76,R,r,bus,23802,cruise,"24,36"
47863,1914.52,L,r,truck,23787,cruise,"24,36"
47961,1918.44,L,m,car,23911,overdrive,"24,36"
48033,1921.32,R,r,truck,23986,cruise,"24,36"
48133,1925.32,L,m,car,24056,overdrive,"24,36"
48162,1926.48,R,m,car,24079,cruise,"24,36"
48176,1927.04,L,m,car,24129,overdrive,"24,36"
48249,1929.96,L,l,truck,24179,overdrive,"24,36"
48307,1932.28,R,l,car,24226,overdrive,"24,36"
48364,1934.56,R,l,truck,24263,cruise,"24,36"
